SERVICE,YM,TRIPS,TRIPS_YAGO,YOY_TRIPS,AVG_TICKET,AVG_TICKET_YAGO,YOY_TICKET
yellow,2018-01-01,8703617,9649991.0,-0.09806993602377453,15.416436553906266,15.341746682458046,0.004868407293781025
yellow,2018-02-01,8439005,9110089.0,-0.07366382479907715,15.410111487076973,15.577570174122338,-0.010749987653629643
yellow,2018-03-01,9368525,10226585.0,-0.08390484213449553,15.893880199924748,16.166063165758654,-0.016836688255085937
yellow,2018-04-01,9246676,9977078.0,-0.07320800739454979,16.233150085500995,16.235449687774317,-0.00014164081177581216
yellow,2018-05-01,9163647,10033630.0,-0.08670670534990826,16.71475793971549,16.702532640729228,0.0007319428286253355
yellow,2018-06-01,8652734,9590198.0,-0.09775230918068636,16.58558152024551,16.547458213062963,0.002303876927300496
yellow,2018-07-01,7793626,8527130.0,-0.08602003253146134,16.425470105955814,16.297115148942254,0.007875931159625546
yellow,2018-08-01,7798264,8363276.0,-0.06755869350718546,16.543137063582357,16.39225775401888,0.009204303142835076
yellow,2018-09-01,7989615,8882629.0,-0.10053487542933516,16.772407139768312,16.582347453664898,0.011461566984679745
yellow,2018-10-01,8763307,9701224.0,-0.0966802745715386,16.88881561949159,16.61972917438047,0.016190783994598498
yellow,2018-11-01,8093316,9220702.0,-0.12226682957544881,16.752677410594124,16.380976910434804,0.02269098492670146
yellow,2018-12-01,8132174,9446834.0,-0.13916408396717886,16.454836204931176,16.120380126294165,0.020747406451754526
yellow,2019-01-01,7640184,8703617.0,-0.12218288097925264,15.63576216489027,15.416436553906266,0.014226738469496108
yellow,2019-02-01,6998300,8439005.0,-0.170719770873462,18.62827262906706,15.410111487076973,0.20883438414373953
yellow,2019-03-01,7808907,9368525.0,-0.16647423153591415,19.08143594999915,15.893880199924748,0.20055239563775587
yellow,2019-04-01,7423408,9246676.0,-0.19718091128098356,19.275044309837206,16.233150085500995,0.18738779647291917
yellow,2019-05-01,7540394,9163647.0,-0.1771404987555719,19.561540114482078,16.71475793971549,0.17031548916436445
yellow,2019-06-01,6906867,8652734.0,-0.20177056176695135,19.670868925085713,16.58558152024551,0.18602226283558945
yellow,2019-07-01,6241363,7793626.0,-0.1991708352440828,19.463142507493956,16.425470105955814,0.18493670999630588
yellow,2019-08-01,6002862,7798264.0,-0.2302309847422452,19.519637089774843,16.543137063582357,0.1799235546893266
yellow,2019-09-01,6495092,7989615.0,-0.18705819992577866,19.776792424187374,16.772407139768312,0.1791266607936971
yellow,2019-10-01,7142454,8763307.0,-0.1849590571230701,19.624809044622477,16.88881561949159,0.16200031350767083
yellow,2019-11-01,6802749,8093316.0,-0.15946084398533308,19.254813339430868,16.752677410594124,0.149357375392093
yellow,2019-12-01,6822167,8132174.0,-0.16108939626722202,19.428916729830856,16.454836204931176,0.18074203157418298
yellow,2020-01-01,6321491,7640184.0,-0.17259963896157474,18.466156402026037,15.63576216489027,0.18102054810550583
yellow,2020-02-01,6237710,6998300.0,-0.10868210851206722,18.456795937932352,18.62827262906706,-0.009205184750578502
yellow,2020-03-01,2975534,7808907.0,-0.6189564045262672,18.38240353832287,19.08143594999915,-0.03663416178468018
yellow,2020-04-01,230104,7423408.0,-0.9690029161808161,16.27881597017001,19.275044309837206,-0.15544598972143686
yellow,2020-05-01,334861,7540394.0,-0.9555910473643685,18.340681865012648,19.561540114482078,-0.062411151797070755
yellow,2020-06-01,526201,6906867.0,-0.9238148063369398,18.64057791604349,19.670868925085713,-0.0523764869241908
yellow,2020-07-01,769095,6241363.0,-0.8767745122339463,18.459398604853757,19.463142507493956,-0.051571523059738396
yellow,2020-08-01,970749,6002862.0,-0.8382856377507929,18.44530929210331,19.519637089774843,-0.055038307973169644
yellow,2020-09-01,1306794,6495092.0,-0.7988028499057442,17.5671077461329,19.776792424187374,-0.11173119637702159
yellow,2020-10-01,1634468,7142454.0,-0.7711615643586924,18.040237092436193,19.624809044622477,-0.0807433055059704
yellow,2020-11-01,1476948,6802749.0,-0.7828895348042387,17.322827858529887,19.254813339430868,-0.10033779330099109
yellow,2020-12-01,1444278,6822167.0,-0.7882962994016417,17.28048654760372,19.428916729830856,-0.11057899995672282
yellow,2021-01-01,1349576,6321491.0,-0.786509859778334,17.387512492812558,18.466156402026037,-0.05841193401216587
yellow,2021-02-01,1352620,6237710.0,-0.7831543948019385,17.54365960136624,18.456795937932352,-0.049474260843369706
yellow,2021-03-01,1900325,2975534.0,-0.361349929121966,17.65839530080381,18.38240353832287,-0.03938593971183779
yellow,2021-04-01,2139190,230104.0,8.29662239682926,18.47375673035121,16.27881597017001,0.1348341773875507
yellow,2021-05-01,2472917,334861.0,6.384905975912393,18.794566865770264,18.340681865012648,0.02474744418436609
yellow,2021-06-01,2798769,526201.0,4.31882113488952,19.338105356319154,18.64057791604349,0.037419839847096105
yellow,2021-07-01,2783216,769095.0,2.6188195216455705,19.804791130117103,18.459398604853757,0.07288387634197278
yellow,2021-08-01,2750016,970749.0,1.832880590142251,20.13513871192022,18.44530929210331,0.0916129620304252
yellow,2021-09-01,2906490,1306794.0,1.224137851872598,20.814009286114864,17.5671077461329,0.18482846390560292
yellow,2021-10-01,3419481,1634468.0,1.092106422395544,20.217601445950425,18.040237092436193,0.12069488568014135
yellow,2021-11-01,3435794,1476948.0,1.326279598198447,20.59758689257854,17.322827858529887,0.18904298194224323
yellow,2021-12-01,3176242,1444278.0,1.199190183607311,20.782099374040143,17.28048654760372,0.20263392565888097
yellow,2022-01-01,2433861,1349576.0,0.8034264094797181,19.05859625919475,17.387512492812558,0.09610827121320346
yellow,2022-02-01,2946436,1352620.0,1.178317635403883,19.405785206262752,17.54365960136624,0.10614236979104955
yellow,2022-03-01,3585822,1900325.0,0.8869519687421888,20.469250972301467,17.65839530080381,0.15917956437240396
yellow,2022-04-01,3558314,2139190.0,0.6633931534833278,21.051288767657944,18.47375673035121,0.13952397852419557
yellow,2022-05-01,3540971,2472917.0,0.43190046410777233,21.941808438984673,18.794566865770264,0.16745486052920666
yellow,2022-06-01,3504695,2798769.0,0.25222731851038793,21.973663713960843,19.338105356319154,0.13628834413090324
yellow,2022-07-01,3128031,2783216.0,0.12389085144667177,21.267885644355825,19.804791130117103,0.07387578614822138
yellow,2022-08-01,3103109,2750016.0,0.1283967075100654,21.374627552560995,20.13513871192022,0.061558495244285735
yellow,2022-09-01,3131075,2906490.0,0.07727017811862419,22.481193120573604,20.814009286114864,0.08009912033482791
yellow,2022-10-01,3612410,3419481.0,0.05642055037007078,22.063681063334446,20.217601445950425,0.0913105158551728
yellow,2022-11-01,3191900,3435794.0,-0.07098621162968444,21.89152579028165,20.59758689257854,0.06281992664729703
yellow,2022-12-01,3336181,3176242.0,0.05035479034657939,24.4161382341066,20.782099374040143,0.17486389582978798
yellow,2023-01-01,3020456,2433861.0,0.24101417459748112,26.97680337670868,19.05859625919475,0.4154664388618768
yellow,2023-02-01,2872422,2946436.0,-0.025119839697858703,26.87803364199272,19.405785206262752,0.38505261994338047
yellow,2023-03-01,3354690,3585822.0,-0.064457187222344,27.786906509990494,20.469250972301467,0.35749503230924845
yellow,2023-04-01,3247495,3558314.0,-0.08735007646879955,28.227587161797015,21.051288767657944,0.34089591726870166
yellow,2023-05-01,3466186,3540971.0,-0.021119913153764887,28.932106993104235,21.941808438984673,0.3185835193830098
yellow,2023-06-01,3259264,3504695.0,-0.07002920368248877,29.02359245522915,21.973663713960843,0.3208353797090821
yellow,2023-07-01,2856884,3128031.0,-0.08668296445911182,28.534567682832066,21.267885644355825,0.34167392847557027
yellow,2023-08-01,2766385,3103109.0,-0.10851181830867043,28.60473807875621,21.374627552560995,0.33825667878498034
yellow,2023-09-01,2747788,3131075.0,-0.12241386744169334,29.805003832173366,22.481193120573604,0.32577500101172996
yellow,2023-10-01,3400224,3612410.0,-0.05873807236720084,29.22294542065464,22.063681063334446,0.3244818639631943
yellow,2023-11-01,3236067,3191900.0,0.01383721294526771,28.740313454573098,21.89152579028165,0.3128510881288979
yellow,2023-12-01,3302848,3336181.0,-0.009991364377412376,28.491242615463985,24.4161382341066,0.1669020850998018
yellow,2024-01-01,2903956,3020456.0,-0.03857033507523367,26.744946355936527,26.97680337670868,-0.008594681050028892
yellow,2024-02-01,2939040,2872422.0,0.02319227467273263,26.609293555038377,26.87803364199272,-0.009998502514502303
yellow,2024-03-01,3495138,3354690.0,0.041866163490516264,27.125583381829276,27.786906509990494,-0.023799811178097357
yellow,2024-04-01,3468116,3247495.0,0.06793574739914919,27.449469986009696,28.227587161797015,-0.02756584086791578
yellow,2024-05-01,3673662,3466186.0,0.059857145577300236,28.22287658472663,28.932106993104235,-0.02451361072826959
yellow,2024-06-01,3485793,3259264.0,0.06950311481365118,27.869558203829087,29.02359245522915,-0.039761936885664255
yellow,2024-07-01,3028447,2856884.0,0.06005249075566246,28.019923515253858,28.534567682832066,-0.018035814430363548
yellow,2024-08-01,2921348,2766385.0,0.05601642576864753,28.18886724895493,28.60473807875621,-0.014538529549065572
yellow,2024-09-01,3551417,2747788.0,0.29246397465888924,28.518016997159158,29.805003832173366,-0.04318022712766621
yellow,2024-10-01,3751667,3400224.0,0.1033587787157552,28.41402404051319,29.22294542065464,-0.02768103517620462
yellow,2024-11-01,3576651,3236067.0,0.1052462758033131,27.61991377967825,28.740313454573098,-0.03898355794434012
yellow,2024-12-01,3592558,3302848.0,0.08771520820818882,28.27200197463757,28.491242615463985,-0.0076950185636136936
yellow,2025-01-01,3383958,2903956.0,0.1652924493346318,25.66947372869285,26.744946355936527,-0.04021218113249109
yellow,2025-02-01,3477392,2939040.0,0.18317273667592138,25.096539354780823,26.609293555038377,-0.05685059609450319
yellow,2025-03-01,4041081,3495138.0,0.15620069937152697,26.28281595939304,27.125583381829276,-0.03106909851755607
yellow,2025-04-01,3878635,3468116.0,0.11836945477025566,26.6012362673982,27.449469986009696,-0.030901642874846744
yellow,2025-05-01,4450106,3673662.0,0.21135422910436508,26.963403354886378,28.22287658472663,-0.04462596950595186
yellow,2025-06-01,4187530,3485793.0,0.2013134457496472,27.416330772555657,27.869558203829087,-0.016262454824675303
yellow,2025-07-01,3774761,3028447.0,0.2464345587028599,26.849594143841156,28.019923515253858,-0.04176775753065788
yellow,2025-08-01,3468430,2921348.0,0.18727039709065815,26.42508763330959,28.18886724895493,-0.06257007775687512
