PU_BOROUGH,PU_ZONE,P99_DUR,P99_DIST
Brooklyn,Cobble Hill,46.0,14.657783333333297
Brooklyn,Carroll Gardens,46.0,14.326627878787884
Bronx,Bedford Park,46.0,13.8
Brooklyn,Prospect Park,46.0,12.983999999999996
Brooklyn,DUMBO/Vinegar Hill,45.93666666666662,16.526214285714232
Bronx,Crotona Park,45.780000000000015,7.907900000000001
Brooklyn,Prospect Heights,45.673599999999865,12.701847999999991
Manhattan,Seaport,45.505555555555475,18.41039999999999
Unknown,N/A,45.0,18.058447770515237
Queens,Middle Village,45.0,16.420000000000027
Bronx,Eastchester,45.0,16.3589
Bronx,Highbridge,45.0,15.711999999999826
Queens,Long Island City/Queens Plaza,45.0,15.055480000000012
Bronx,Spuyten Duyvil/Kingsbridge,45.0,14.719000000000005
Brooklyn,Gowanus,45.0,13.478500000000004
Brooklyn,Boerum Hill,45.0,13.225773809523792
Bronx,University Heights/Morris Heights,45.0,12.347600000000002
Brooklyn,Williamsburg (North Side),44.988244047619055,13.329600632172072
Queens,Steinway,44.973684210526315,14.05895299145299
Bronx,Hunts Point,44.63000000000011,16.72300000000023
Brooklyn,Fort Greene,44.492499999999914,12.802515995115986
Queens,Elmhurst/Maspeth,44.44749999999976,13.792999999999969
Bronx,Mott Haven/Port Morris,44.42000000000007,13.85460000000001
Bronx,Soundview/Bruckner,44.0300000000002,13.806600000000044
Brooklyn,Columbia Street,44.0,18.61399999999999
Manhattan,Morningside Heights,44.0,15.890544988430127
Manhattan,Hamilton Heights,44.0,15.361666666666714
Queens,Astoria,44.0,14.056521538461533
Brooklyn,Williamsburg (South Side),44.0,13.75837782738097
Brooklyn,Clinton Hill,44.0,12.788184444444415
Bronx,Claremont/Bathgate,44.0,11.06
Queens,Forest Park/Highland Park,43.70999999999998,27.016699999999986
Queens,Woodside,43.70600000000007,13.21680238095241
Brooklyn,East Williamsburg,43.31172839506168,14.224370370370362
Staten Island,Grymes Hill/Clifton,43.22,23.111399999999996
Bronx,West Concourse,43.15111111111118,12.614750000000004
Bronx,Mount Hope,43.13999999999987,13.823799999999979
Queens,Kew Gardens,43.02133333333332,14.326653333333331
Manhattan,Clinton West,43.01348873348872,15.434394393067445
Manhattan,Garment District,43.0,15.574455882352918
Manhattan,Manhattanville,43.0,13.787374999999985
Brooklyn,Greenpoint,43.0,13.431214180601991
Bronx,Longwood,43.0,13.295500000000004
Queens,North Corona,43.0,11.567549999999992
Bronx,East Concourse/Concourse Village,43.0,11.407875000000029
Bronx,Melrose South,43.0,11.09545
Manhattan,Chinatown,42.98057142857142,13.282711428571425
Queens,Auburndale,42.93999999999997,13.153399999999996
Queens,Jackson Heights,42.894175824175846,12.319734798534807
Manhattan,Central Harlem North,42.83156862745105,13.264639728506815
Manhattan,East Harlem South,42.73077927695955,13.248714052408587
Bronx,Schuylerville/Edgewater Park,42.650000000000205,18.516100000000048
Manhattan,Midtown North,42.301356424846,16.90698476889992
Manhattan,Clinton East,42.03943800755851,16.44933732645071
Manhattan,Hudson Sq,42.0,14.702028219395844
Manhattan,TriBeCa/Civic Center,42.0,14.638056947847607
