YEAR,MONTH,SERVICE_TYPE,AVG_TICKET
2022,11,yellow,21.89152579028165
2022,12,green,20.852342715110755
2022,12,yellow,24.4161382341066
2023,1,green,21.709494907407407
2023,1,yellow,26.976803376708684
2023,2,green,21.789887380836966
2023,2,yellow,26.87803364199272
2023,3,green,22.202405395552315
2023,3,yellow,27.786906509990494
2023,4,green,22.923373929529717
2023,4,yellow,28.227587161797015
2023,5,green,23.653803419454043
2023,5,yellow,28.932106993104235
2023,6,green,24.374315199716648
2023,6,yellow,29.023592455229156
2023,7,green,24.174431725971584
2023,7,yellow,28.534567682832066
2023,8,green,24.909130859886513
2023,8,yellow,28.60473807875621
2023,9,green,26.33778293776414
2023,9,yellow,29.805003832173373
2023,10,green,24.62573260953113
2023,10,yellow,29.222945420654636
2023,11,green,24.08560642543787
2023,11,yellow,28.740313454573098
2023,12,green,24.021627295725597
2023,12,yellow,28.491242615463985
2024,1,green,22.19283009717792
2024,1,yellow,26.74494635593652
2024,2,green,22.475397846068876
2024,2,yellow,26.609293555038377
2024,3,green,22.719739347818095
2024,3,yellow,27.125583381829273
2024,4,green,23.24072740590489
2024,4,yellow,27.4494699860097
2024,5,green,24.46230339797435
2024,5,yellow,28.222876584726627
2024,6,green,24.738112590426347
2024,6,yellow,27.869558203829087
2024,7,green,24.60557756519245
2024,7,yellow,28.019923515253858
2024,8,green,25.938045043758542
2024,8,yellow,28.18886724895493
2024,9,green,26.56865023542405
2024,9,yellow,28.518016997159158
2024,10,green,24.995078498803828
2024,10,yellow,28.41402404051319
2024,11,green,24.023987253414266
2024,11,yellow,27.619913779678253
2024,12,green,23.837504318128286
2024,12,yellow,28.27200197463757
2025,1,green,22.519693794796485
2025,1,yellow,25.66947372869285
2025,2,green,22.8521292190752
2025,2,yellow,25.096539354780823
2025,3,green,23.863783112752643
2025,3,yellow,26.28281595939304
2025,4,green,24.498192040994777
2025,4,yellow,26.601236267398193
2025,5,green,25.263898147091275
2025,5,yellow,26.963403354886378
2025,6,green,25.694158305462654
2025,6,yellow,27.416330772555664
2025,7,green,25.635013400801903
2025,7,yellow,26.84959414384116
2025,8,green,27.65006988479057
2025,8,yellow,26.425087633309595
