YEAR,MONTH,PU_BOROUGH,LENGTH_BUCKET,TRIPS,SHARE_BUCKET
2015,11,Brooklyn,LONG>=5mi,139063,0.18316
2015,11,Brooklyn,MED<5mi,487727,0.642384
2015,11,Brooklyn,SHORT<1mi,132455,0.174456
2015,11,EWR,LONG>=5mi,70,0.27027
2015,11,EWR,MED<5mi,48,0.185328
2015,11,EWR,SHORT<1mi,141,0.544402
2015,11,Manhattan,LONG>=5mi,1123348,0.105372
2015,11,Manhattan,MED<5mi,6998895,0.656506
2015,11,Manhattan,SHORT<1mi,2538583,0.238123
2015,11,N/A,LONG>=5mi,1002,0.232052
2015,11,N/A,MED<5mi,2029,0.469893
2015,11,N/A,SHORT<1mi,1287,0.298055
2015,11,Queens,LONG>=5mi,601998,0.559595
2015,11,Queens,MED<5mi,354145,0.3292
2015,11,Queens,SHORT<1mi,119631,0.111205
2015,11,Staten Island,LONG>=5mi,88,0.369748
2015,11,Staten Island,MED<5mi,119,0.5
2015,11,Staten Island,SHORT<1mi,31,0.130252
2015,11,Unknown,LONG>=5mi,21844,0.138532
2015,11,Unknown,MED<5mi,97649,0.619278
2015,11,Unknown,SHORT<1mi,38189,0.24219
2015,12,Bronx,LONG>=5mi,14406,0.160504
2015,12,Bronx,MED<5mi,56142,0.625503
2015,12,Bronx,SHORT<1mi,19207,0.213994
2015,12,Brooklyn,LONG>=5mi,141771,0.180141
2015,12,Brooklyn,MED<5mi,502599,0.638628
2015,12,Brooklyn,SHORT<1mi,142628,0.18123
2015,12,EWR,LONG>=5mi,72,0.265683
2015,12,EWR,MED<5mi,51,0.188192
2015,12,EWR,SHORT<1mi,148,0.546125
2015,12,Manhattan,LONG>=5mi,1148414,0.105956
2015,12,Manhattan,MED<5mi,7029321,0.648544
2015,12,Manhattan,SHORT<1mi,2660887,0.2455
2015,12,N/A,LONG>=5mi,1093,0.264265
2015,12,N/A,MED<5mi,1706,0.412476
2015,12,N/A,SHORT<1mi,1337,0.323259
2015,12,Queens,LONG>=5mi,584735,0.536022
2015,12,Queens,MED<5mi,377340,0.345905
2015,12,Queens,SHORT<1mi,128803,0.118073
2015,12,Staten Island,LONG>=5mi,133,0.457045
2015,12,Staten Island,MED<5mi,111,0.381443
2015,12,Staten Island,SHORT<1mi,47,0.161512
2015,12,Unknown,LONG>=5mi,21315,0.136284
2015,12,Unknown,MED<5mi,96847,0.619222
2015,12,Unknown,SHORT<1mi,38239,0.244493
2016,1,Bronx,LONG>=5mi,12109,0.159419
2016,1,Bronx,MED<5mi,47227,0.62176
2016,1,Bronx,SHORT<1mi,16621,0.218821
2016,1,Brooklyn,LONG>=5mi,127864,0.171797
2016,1,Brooklyn,MED<5mi,475393,0.638736
2016,1,Brooklyn,SHORT<1mi,141015,0.189467
2016,1,EWR,LONG>=5mi,44,0.240437
2016,1,EWR,MED<5mi,48,0.262295
2016,1,EWR,SHORT<1mi,91,0.497268
2016,1,Manhattan,LONG>=5mi,1000328,0.09742
2016,1,Manhattan,MED<5mi,6673910,0.64996
2016,1,Manhattan,SHORT<1mi,2593940,0.252619
2016,1,N/A,LONG>=5mi,1062,0.261319
2016,1,N/A,MED<5mi,1812,0.445866
2016,1,N/A,SHORT<1mi,1190,0.292815
2016,1,Queens,LONG>=5mi,554896,0.548783
2016,1,Queens,MED<5mi,336677,0.332968
2016,1,Queens,SHORT<1mi,119566,0.118249
2016,1,Staten Island,LONG>=5mi,163,0.454039
2016,1,Staten Island,MED<5mi,127,0.35376
2016,1,Staten Island,SHORT<1mi,69,0.192201
2016,1,Unknown,LONG>=5mi,21397,0.133884
2016,1,Unknown,MED<5mi,98642,0.617218
2016,1,Unknown,SHORT<1mi,39778,0.248897
2016,2,Bronx,LONG>=5mi,13393,0.160161
2016,2,Bronx,MED<5mi,51827,0.619777
2016,2,Bronx,SHORT<1mi,18402,0.220062
2016,2,Brooklyn,LONG>=5mi,129476,0.169819
2016,2,Brooklyn,MED<5mi,484159,0.635017
2016,2,Brooklyn,SHORT<1mi,148800,0.195164
2016,2,EWR,LONG>=5mi,54,0.323353
2016,2,EWR,MED<5mi,34,0.203593
2016,2,EWR,SHORT<1mi,79,0.473054
2016,2,Manhattan,LONG>=5mi,1071831,0.09926
2016,2,Manhattan,MED<5mi,6966680,0.645166
2016,2,Manhattan,SHORT<1mi,2759758,0.255574
2016,2,N/A,LONG>=5mi,985,0.240127
2016,2,N/A,MED<5mi,1905,0.464408
2016,2,N/A,SHORT<1mi,1212,0.295466
2016,2,Queens,LONG>=5mi,528607,0.536775
2016,2,Queens,MED<5mi,333345,0.338496
2016,2,Queens,SHORT<1mi,122832,0.12473
2016,2,Staten Island,LONG>=5mi,221,0.30109
2016,2,Staten Island,MED<5mi,357,0.486376
2016,2,Staten Island,SHORT<1mi,156,0.212534
2016,2,Unknown,LONG>=5mi,22304,0.133735
2016,2,Unknown,MED<5mi,102721,0.615915
2016,2,Unknown,SHORT<1mi,41753,0.250351
2016,3,Bronx,LONG>=5mi,15005,0.158319
2016,3,Bronx,MED<5mi,59456,0.627325
2016,3,Bronx,SHORT<1mi,20316,0.214356
2016,3,Brooklyn,LONG>=5mi,143488,0.178219
2016,3,Brooklyn,MED<5mi,514673,0.639249
2016,3,Brooklyn,SHORT<1mi,146960,0.182532
2016,3,EWR,LONG>=5mi,66,0.275
2016,3,EWR,MED<5mi,59,0.245833
2016,3,EWR,SHORT<1mi,115,0.479167
2016,3,Manhattan,LONG>=5mi,1200339,0.104172
2016,3,Manhattan,MED<5mi,7503598,0.651206
2016,3,Manhattan,SHORT<1mi,2818673,0.244621
2016,3,N/A,LONG>=5mi,1142,0.282673
2016,3,N/A,MED<5mi,1681,0.416089
2016,3,N/A,SHORT<1mi,1217,0.301238
2016,3,Queens,LONG>=5mi,608645,0.557599
2016,3,Queens,MED<5mi,359645,0.329482
